iso-a3,gcbr-index,zoonotic,zoonotic-risk-burden,zoonotic-mitigating-countermeasures,zoonotic-1.1,zoonotic-1.2,zoonotic-2.1,zoonotic-2.3,zoonotic-3.1,zoonotic-3.2,lab-leak,lab-leak-risk-burden,lab-leak-mitigating-countermeasures,lab-leak-1.1,lab-leak-1.2,lab-leak-1.3,lab-leak-2.1,lab-leak-3.1,lab-leak-3.2,lab-leak-3.3,lab-leak-3.4,lab-leak-3.5,lab-leak-4.1,lab-leak-4.2,lab-leak-5.1
RUS,2.067809312,1.184019943,2.201067988,0.462070254,2,3,0,100,18,67,2.951598681,4.298444681,0.313333333,9,16,0,0,20,0,100,0,100,100,0,0
RWA,2.15055121,4.255118539,5.956096908,0.28558608,1,11,25,80,9,0,0.045983882,0.046605286,0.013333333,0,0,0,0,20,0,0,0,0,0,0,0
WSM,0.00662862,0.013257241,0.014208582,0.066955411,0,0,25,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMR,0.005672488,0.011344976,0.014208582,0.201540613,0,0,0,60,21,0,0,0,0.066666667,0,0,0,0,0,0,0,100,0,0,0,0
STP,0,0,0,0.021349568,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAU,0.771788661,0.056890402,0.099460074,0.428007643,0,0,75,60,3,33,1.486686919,1.486686919,0,5,4,0,0,0,0,0,0,0,0,0,0
SEN,0.837460031,1.654178239,2.175191555,0.239525257,0,4,0,60,2,33,0.020741822,0.020741822,0,0,0,0,0,0,0,0,0,0,0,0,0
SRB,0.062271429,0.115524371,0.220495339,0.476068875,0,0,50,80,27,33,0.009018487,0.01313372,0.313333333,0,0,0,0,20,0,0,100,100,100,0,0
SYC,0.006648145,0.013296291,0.014208582,0.064207041,0,0,0,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLE,0.230963413,0.451210762,0.53083619,0.15,0,1,0,60,0,0,0.010716064,0.010860875,0.013333333,0,0,0,0,20,0,0,0,0,0,0,0
SGP,1.485803398,0.230528788,0.361984132,0.363152228,0,1,25,80,7,33,2.741078007,4.780950012,0.426666667,10,4,14,0,40,100,0,0,0,100,100,0
SVK,0.267420371,0.530695644,0.841577441,0.369403672,0,2,75,20,19,33,0.004145098,0.006614518,0.373333333,0,0,0,0,60,0,50,100,100,100,0,0
SVN,0.374122527,0.362405501,0.91270728,0.602933483,0,2,75,80,20,67,0.385839552,1.010933324,0.618333333,3,0,3,0,40,0,0,100,100,100,100,38
SLB,0.008687585,0.012314104,0.014208582,0.133333333,0,0,0,20,0,33,0.005061065,0.005061065,0,0,0,0,0,0,0,0,0,0,0,0,0
SOM,0.006598573,0.013197146,0.014208582,0.071184874,0,0,0,20,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZAF,2.109229956,0.890723492,1.613055863,0.447803692,2,1,50,60,2,67,3.327736421,4.058215148,0.18,7,4,10,1,20,0,0,0,0,100,0,0
KOR,1.480187081,0.732615764,1.850818773,0.604166667,2,2,75,100,0,67,2.227758397,3.632214778,0.386666667,7,3,10,1,80,0,50,100,100,100,0,0
